place_fips,place_name,is_gateway_city
2571445,"Upton CDP, Massachusetts",False
2571970,"Vineyard Haven CDP, Massachusetts",False
2572250,"Wakefield CDP, Massachusetts",False
2572460,"Walpole CDP, Massachusetts",False
2572600,"Waltham city, Massachusetts",False
2572845,"Ware CDP, Massachusetts",False
2573020,"Wareham Center CDP, Massachusetts",False
2573055,"Warren CDP, Massachusetts",False
2573440,"Watertown Town city, Massachusetts",False
2573930,"Webster CDP, Massachusetts",False
2574210,"Wellesley CDP, Massachusetts",False
2575365,"West Brookfield CDP, Massachusetts",False
2575505,"West Chatham CDP, Massachusetts",False
2575680,"West Concord CDP, Massachusetts",False
2575820,"West Dennis CDP, Massachusetts",False
2575960,"West Falmouth CDP, Massachusetts",False
2577890,"West Springfield Town city, Massachusetts",False
2578410,"West Wareham CDP, Massachusetts",False
2578445,"West Warren CDP, Massachusetts",False
2578795,"West Yarmouth CDP, Massachusetts",False
2575050,"Westborough CDP, Massachusetts",False
2576030,"Westfield city, Massachusetts",True
2578850,"Weweantic CDP, Massachusetts",False
2578972,"Weymouth Town city, Massachusetts",False
2579390,"White Island Shores CDP, Massachusetts",False
2579495,"Whitinsville CDP, Massachusetts",False
2579705,"Wilbraham CDP, Massachusetts",False
2579950,"Williamstown CDP, Massachusetts",False
2580195,"Wilmington CDP, Massachusetts",False
2580370,"Winchendon CDP, Massachusetts",False
2580545,"Winchester CDP, Massachusetts",False
2581005,"Winthrop Town city, Massachusetts",False
2581035,"Woburn city, Massachusetts",False
2581245,"Woods Hole CDP, Massachusetts",False
2582000,"Worcester city, Massachusetts",True
2582595,"Yarmouth Port CDP, Massachusetts",False
